type	name	value	zone	address	bytes	access	other
Factory	PORTC_PCR7	---	Memory	0x4004b01c	4	readWrite	strong	
Factory	PORTC_PCR8	---	Memory	0x4004b020	4	readWrite	strong	
Factory	PORTC_PCR9	---	Memory	0x4004b024	4	readWrite	strong	
Factory	PORTC_PCR10	---	Memory	0x4004b028	4	readWrite	strong	
Factory	PORTC_PCR11	---	Memory	0x4004b02c	4	readWrite	strong	
Factory	PORTC_PCR12	---	Memory	0x4004b030	4	readWrite	strong	
Factory	PORTC_PCR13	---	Memory	0x4004b034	4	readWrite	strong	
Factory	PORTC_PCR14	---	Memory	0x4004b038	4	readWrite	strong	
Factory	PORTC_PCR15	---	Memory	0x4004b03c	4	readWrite	strong	
Factory	PORTC_PCR16	---	Memory	0x4004b040	4	readWrite	strong	
Factory	PORTC_PCR17	---	Memory	0x4004b044	4	readWrite	strong	
Factory	PORTC_PCR18	---	Memory	0x4004b048	4	readWrite	strong	
Factory	PORTC_PCR19	---	Memory	0x4004b04c	4	readWrite	strong	
Factory	PORTC_PCR20	---	Memory	0x4004b050	4	readWrite	strong	
Factory	PORTC_PCR21	---	Memory	0x4004b054	4	readWrite	strong	
Factory	PORTC_PCR22	---	Memory	0x4004b058	4	readWrite	strong	
Factory	PORTC_PCR23	---	Memory	0x4004b05c	4	readWrite	strong	
Factory	PORTC_PCR24	---	Memory	0x4004b060	4	readWrite	strong	
Factory	PORTC_PCR25	---	Memory	0x4004b064	4	readWrite	strong	
Factory	PORTC_PCR26	---	Memory	0x4004b068	4	readWrite	strong	
Factory	PORTC_PCR27	---	Memory	0x4004b06c	4	readWrite	strong	
Factory	PORTC_PCR28	---	Memory	0x4004b070	4	readWrite	strong	
Factory	PORTC_PCR29	---	Memory	0x4004b074	4	readWrite	strong	
Factory	PORTC_PCR30	---	Memory	0x4004b078	4	readWrite	strong	
Factory	PORTC_PCR31	---	Memory	0x4004b07c	4	readWrite	strong	
Factory	PORTC_GPCLR	---	Memory	0x4004b080	4	writeOnly	strong	
Factory	PORTC_GPCHR	---	Memory	0x4004b084	4	writeOnly	strong	
Factory	PORTC_ISFR	---	Memory	0x4004b0a0	4	readWrite	strong	
Factory	PORTD_PCR0	0x5	Memory	0x4004c000	4	readWrite	strong	
Factory	PORTD_PCR1	0x5	Memory	0x4004c004	4	readWrite	strong	
Factory	PORTD_PCR2	0x5	Memory	0x4004c008	4	readWrite	strong	
Factory	PORTD_PCR3	0x5	Memory	0x4004c00c	4	readWrite	strong	
Factory	PORTD_PCR4	0x1	Memory	0x4004c010	4	readWrite	strong	
Factory	PORTD_PCR5	0x1	Memory	0x4004c014	4	readWrite	strong	
Factory	PORTD_PCR6	0x1	Memory	0x4004c018	4	readWrite	strong	
Factory	PORTD_PCR7	0x1	Memory	0x4004c01c	4	readWrite	strong	
Factory	PORTD_PCR8	0x0	Memory	0x4004c020	4	readWrite	strong	
Factory	PORTD_PCR9	0x0	Memory	0x4004c024	4	readWrite	strong	
Factory	PORTD_PCR10	0x0	Memory	0x4004c028	4	readWrite	strong	
Factory	PORTD_PCR11	0x0	Memory	0x4004c02c	4	readWrite	strong	
Factory	PORTD_PCR12	0x0	Memory	0x4004c030	4	readWrite	strong	
Factory	PORTD_PCR13	0x0	Memory	0x4004c034	4	readWrite	strong	
Factory	PORTD_PCR14	0x0	Memory	0x4004c038	4	readWrite	strong	
Factory	PORTD_PCR15	0x0	Memory	0x4004c03c	4	readWrite	strong	
Factory	PORTD_PCR16	0x0	Memory	0x4004c040	4	readWrite	strong	
Factory	PORTD_PCR17	0x0	Memory	0x4004c044	4	readWrite	strong	
Factory	PORTD_PCR18	0x0	Memory	0x4004c048	4	readWrite	strong	
Factory	PORTD_PCR19	0x0	Memory	0x4004c04c	4	readWrite	strong	
Factory	PORTD_PCR20	0x0	Memory	0x4004c050	4	readWrite	strong	
Factory	PORTD_PCR21	0x0	Memory	0x4004c054	4	readWrite	strong	
Factory	PORTD_PCR22	0x0	Memory	0x4004c058	4	readWrite	strong	
Factory	PORTD_PCR23	0x0	Memory	0x4004c05c	4	readWrite	strong	
Factory	PORTD_PCR24	0x0	Memory	0x4004c060	4	readWrite	strong	
Factory	PORTD_PCR25	0x0	Memory	0x4004c064	4	readWrite	strong	
Factory	PORTD_PCR26	0x0	Memory	0x4004c068	4	readWrite	strong	
Factory	PORTD_PCR27	0x0	Memory	0x4004c06c	4	readWrite	strong	
Factory	PORTD_PCR28	0x0	Memory	0x4004c070	4	readWrite	strong	
Factory	PORTD_PCR29	0x0	Memory	0x4004c074	4	readWrite	strong	
Factory	PORTD_PCR30	0x0	Memory	0x4004c078	4	readWrite	strong	
Factory	PORTD_PCR31	0x0	Memory	0x4004c07c	4	readWrite	strong	
Factory	PORTD_GPCLR	0x0	Memory	0x4004c080	4	writeOnly	strong	
Factory	PORTD_GPCHR	0x0	Memory	0x4004c084	4	writeOnly	strong	
Factory	PORTD_ISFR	0x0	Memory	0x4004c0a0	4	readWrite	strong	
Factory	PORTE_PCR0	0x5	Memory	0x4004d000	4	readWrite	strong	
Factory	PORTE_PCR1	0x5	Memory	0x4004d004	4	readWrite	strong	
Factory	PORTE_PCR2	0x5	Memory	0x4004d008	4	readWrite	strong	
Factory	PORTE_PCR3	0x5	Memory	0x4004d00c	4	readWrite	strong	
Factory	PORTE_PCR4	0x5	Memory	0x4004d010	4	readWrite	strong	
